id;customer_code;customer_name;customer_credit_limit;is_active;location_id
1;workforce;Analyst deposit;19954;false;1
2;blue web-readiness white;Drives XSS interface;74270;true;2
3;Money Market Account array;Analyst Awesome Fresh Hat New Jersey;43861;false;3
4;target Auto Loan Account Personal Loan Account;systems zero tolerance Iowa;91236;false;4
5;benchmark;invoice program;13156;true;5
6;iterate Savings Account deposit;Analyst Shirt;85438;false;6
7;communities Refined;Pike Borders;35923;true;7
8;Rustic withdrawal;Coordinator;25813;true;8
9;Garden Rhode Island;Cotton Manager;45378;false;9
10;SDD;Gloves Jordan;33700;true;10
